description,age,employment_status,employment_years,income,credit_score,loan_amount,loan_term_months,loan_purpose,debt_to_income,existing_loans,collateral,revolving_utilization,delinquencies,bankruptcies,underwriter_notes,credit_health_index,approved,risk_tier,recommended_apr,default_prob,max_approved_amount
"Credit application summary: $34,513 home purchase loan sought by a 45-year-old unemployed individual. Repayment horizon is 60 months with investment portfolio collateral. Applicant commands an annual income of $15,000 with a FICO score of 713 and debt ratio of 2.50. Borrower carries 5 existing loan liability(ies) and revolving utilization of 20%. Credit notes: Elevated debt-to-income ratio presents elevated default risk under rate shocks.",45,Unemployed,0.0,15000,713,34513,60,Home Purchase,2.5,5,Investment Portfolio,0.2,1,0,Elevated debt-to-income ratio presents elevated default risk under rate shocks.,1.0,0,Tier D (High Risk),26.25,0.94,3000
"Loan profile: The applicant is 21 years of age, working as business owner with 0.0 years of experience. Seeking $23,875 financing for home purchase across 180 monthly installments secured by commercial equipment. Earning $38,829 annually with an established credit score of 808 and monthly DTI of 0.32. The borrower currently maintains 1 existing loan liability(ies). Risk note: Strong liquidity profile and prime credit score history.",21,Business Owner,0.0,38829,808,23875,180,Home Purchase,0.32,1,Commercial Equipment,0.14,0,0,Strong liquidity profile and prime credit score history.,99.0,1,Tier A+ (Prime),6.25,0.02,28830
"Borrower review: 39-year-old employed requesting a $19,942 36-month loan for business expansion. Financial standing: $85,933 annual gross income, credit rating of 772, and leverage ratio of 0.13. Collateral posture: Property / Real Estate. Obligation structure: no existing debt obligations, with zero delinquencies, 34% revolving usage. Analyst review: Borrower demonstrates exemplary cash reserves and disciplined credit utilization.",39,Employed,2.4,85933,772,19942,36,Business Expansion,0.13,0,Property / Real Estate,0.34,0,0,Borrower demonstrates exemplary cash reserves and disciplined credit utilization.,99.0,1,Tier A+ (Prime),6.25,0.02,63805
"Applicant is a 47-year-old employed professional (9.2 years in field) requesting a $66,561 credit facility for home purchase over 84 months secured by property / real estate. Declared annual income is $81,740 against a credit score of 734 and DTI ratio of 0.18. Credit file shows 1 existing loan liability(ies), 6% revolving utilization, and with zero delinquencies. Underwriting assessment: Borrower demonstrates exemplary cash reserves and disciplined credit utilization.",47,Employed,9.2,81740,734,66561,84,Home Purchase,0.18,1,Property / Real Estate,0.06,0,0,Borrower demonstrates exemplary cash reserves and disciplined credit utilization.,99.0,1,Tier A+ (Prime),6.25,0.02,60691
"Credit application summary: $87,154 business expansion loan sought by a 66-year-old employed individual. Repayment horizon is 24 months with none collateral. Applicant commands an annual income of $26,843 with a FICO score of 850 and debt ratio of 0.85. Borrower carries 1 existing loan liability(ies) and revolving utilization of 11%. Credit notes: Clean repayment history with strong collateral backing.",66,Employed,18.4,26843,850,87154,24,Business Expansion,0.85,1,None,0.11,0,0,Clean repayment history with strong collateral backing.,71.5,1,Tier A (Prime),11.52,0.066,14394
"Loan profile: The applicant is 26 years of age, working as employed with 0.9 years of experience. Seeking $58,835 financing for home improvement across 36 monthly installments without collateral backing. Earning $84,773 annually with an established credit score of 646 and monthly DTI of 0.08. The borrower currently maintains no existing debt obligations. Risk note: Clean repayment history with strong collateral backing.",26,Employed,0.9,84773,646,58835,36,Home Improvement,0.08,0,None,0.24,0,0,Clean repayment history with strong collateral backing.,82.7,1,Tier A+ (Prime),9.06,0.023,52580
"Borrower review: 63-year-old employed requesting a $28,894 48-month loan for vehicle purchase. Financial standing: $55,819 annual gross income, credit rating of 607, and leverage ratio of 0.13. Collateral posture: Investment Portfolio. Obligation structure: no existing debt obligations, with zero delinquencies, 29% revolving usage. Analyst review: Verified disposable cash flow comfortably covers debt service coverage ratio.",63,Employed,11.6,55819,607,28894,48,Vehicle Purchase,0.13,0,Investment Portfolio,0.29,0,0,Verified disposable cash flow comfortably covers debt service coverage ratio.,99.0,1,Tier A+ (Prime),6.25,0.02,41445
"Applicant is a 27-year-old employed professional (0.8 years in field) requesting a $24,418 credit facility for education over 48 months secured by property / real estate. Declared annual income is $44,627 against a credit score of 632 and DTI ratio of 0.96. Credit file shows 6 existing loan liability(ies), 32% revolving utilization, and with zero delinquencies. Prior bankruptcy recorded. Underwriting assessment: Elevated debt-to-income ratio presents elevated default risk under rate shocks.",27,Employed,0.8,44627,632,24418,48,Education,0.96,6,Property / Real Estate,0.32,0,1,Elevated debt-to-income ratio presents elevated default risk under rate shocks.,1.0,0,Tier D (High Risk),26.25,0.94,3000
"Credit application summary: $29,576 home improvement loan sought by a 66-year-old self-employed individual. Repayment horizon is 60 months with cash reserve collateral. Applicant commands an annual income of $63,698 with a FICO score of 821 and debt ratio of 0.27. Borrower carries 1 existing loan liability(ies) and revolving utilization of 5%. Credit notes: Clean repayment history with strong collateral backing.",66,Self-Employed,38.1,63698,821,29576,60,Home Improvement,0.27,1,Cash Reserve,0.05,1,0,Clean repayment history with strong collateral backing.,99.0,1,Tier A+ (Prime),6.25,0.02,47295
"Loan profile: The applicant is 54 years of age, working as self-employed with 21.5 years of experience. Seeking $34,029 financing for home purchase across 60 monthly installments without collateral backing. Earning $19,979 annually with an established credit score of 798 and monthly DTI of 0.27. The borrower currently maintains no existing debt obligations. Risk note: Solid balance sheet with multi-year steady employment and low debt obligations.",54,Self-Employed,21.5,19979,798,34029,60,Home Purchase,0.27,0,None,0.14,0,0,Solid balance sheet with multi-year steady employment and low debt obligations.,90.1,1,Tier A+ (Prime),7.43,0.02,13500
"Borrower review: 33-year-old business owner requesting a $20,867 24-month loan for education. Financial standing: $72,859 annual gross income, credit rating of 644, and leverage ratio of 0.17. Collateral posture: Vehicle. Obligation structure: 1 existing loan liability(ies), with 1 past delinquency flag(s), 24% revolving usage. Analyst review: Strong liquidity profile and prime credit score history.",33,Business Owner,2.0,72859,644,20867,24,Education,0.17,1,Vehicle,0.24,1,0,Strong liquidity profile and prime credit score history.,80.1,1,Tier A+ (Prime),9.63,0.029,43770
"Applicant is a 36-year-old retired professional (1.7 years in field) requesting a $88,465 credit facility for home purchase over 36 months secured by commercial equipment. Declared annual income is $35,417 against a credit score of 501 and DTI ratio of 0.25. Credit file shows no existing debt obligations, 9% revolving utilization, and with zero delinquencies. Underwriting assessment: Elevated debt-to-income ratio presents elevated default risk under rate shocks.",36,Retired,1.7,35417,501,88465,36,Home Purchase,0.25,0,Commercial Equipment,0.09,0,0,Elevated debt-to-income ratio presents elevated default risk under rate shocks.,43.0,0,Tier C (Subprime),17.79,0.55,11421
"Credit application summary: $34,485 business expansion loan sought by a 55-year-old employed individual. Repayment horizon is 24 months with vehicle collateral. Applicant commands an annual income of $94,504 with a FICO score of 668 and debt ratio of 0.16. Borrower carries no existing debt obligations and revolving utilization of 5%. Credit notes: Solid balance sheet with multi-year steady employment and low debt obligations.",55,Employed,21.7,94504,668,34485,24,Business Expansion,0.16,0,Vehicle,0.05,0,0,Solid balance sheet with multi-year steady employment and low debt obligations.,99.0,1,Tier A+ (Prime),6.25,0.02,70169
"Loan profile: The applicant is 69 years of age, working as employed with 20.6 years of experience. Seeking $71,229 financing for business expansion across 240 monthly installments secured by property / real estate. Earning $63,765 annually with an established credit score of 605 and monthly DTI of 0.30. The borrower currently maintains no existing debt obligations. Risk note: Clean repayment history with strong collateral backing.",69,Employed,20.6,63765,605,71229,240,Business Expansion,0.3,0,Property / Real Estate,0.27,1,0,Clean repayment history with strong collateral backing.,86.1,1,Tier A+ (Prime),8.31,0.02,41176
"Borrower review: 59-year-old retired requesting a $14,045 60-month loan for debt consolidation. Financial standing: $74,138 annual gross income, credit rating of 646, and leverage ratio of 0.23. Collateral posture: Property / Real Estate. Obligation structure: 2 existing loan liability(ies), with zero delinquencies, 10% revolving usage. Analyst review: Clean repayment history with strong collateral backing.",59,Retired,26.2,74138,646,14045,60,Debt Consolidation,0.23,2,Property / Real Estate,0.1,0,0,Clean repayment history with strong collateral backing.,87.0,1,Tier A+ (Prime),8.11,0.02,48375
"Applicant is a 23-year-old employed professional (1.6 years in field) requesting a $23,950 credit facility for home improvement over 120 months secured by property / real estate. Declared annual income is $17,115 against a credit score of 602 and DTI ratio of 0.54. Credit file shows no existing debt obligations, 45% revolving utilization, and with zero delinquencies. Underwriting assessment: Moderate risk profile; requires verification of secondary liquid assets.",23,Employed,1.6,17115,602,23950,120,Home Improvement,0.54,0,Property / Real Estate,0.45,0,0,Moderate risk profile; requires verification of secondary liquid assets.,55.1,1,Tier B (Near-Prime),15.13,0.267,7072
"Credit application summary: $76,461 debt consolidation loan sought by a 21-year-old freelancer individual. Repayment horizon is 60 months with vehicle collateral. Applicant commands an annual income of $41,655 with a FICO score of 559 and debt ratio of 0.45. Borrower carries 1 existing loan liability(ies) and revolving utilization of 21%. Credit notes: Elevated debt-to-income ratio presents elevated default risk under rate shocks.",21,Freelancer,0.0,41655,559,76461,60,Debt Consolidation,0.45,1,Vehicle,0.21,0,1,Elevated debt-to-income ratio presents elevated default risk under rate shocks.,1.0,0,Tier D (High Risk),26.25,0.94,3000
"Loan profile: The applicant is 25 years of age, working as retired with 1.0 years of experience. Seeking $77,277 financing for education across 36 monthly installments secured by property / real estate. Earning $70,835 annually with an established credit score of 831 and monthly DTI of 0.13. The borrower currently maintains no existing debt obligations. Risk note: Strong liquidity profile and prime credit score history.",25,Retired,1.0,70835,831,77277,36,Education,0.13,0,Property / Real Estate,0.07,0,0,Strong liquidity profile and prime credit score history.,99.0,1,Tier A+ (Prime),6.25,0.02,52594
